"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2023 TM15)","2076-2113","11","5.8e-6","16.58","26.8","0.015","-6.14","-6.50","0","bK23T15M"
"(2008 KN11)","2046-2046","1","4.2e-8","13.83","23.3","0.075","-6.15","-6.15","0","bK08K11N"
"(2015 UR67)","2091-2103","3","4.2e-6","11.63","26.3","0.019","-6.15","-6.15","0","bK15U67R"
"(2022 YJ5)","2099-2122","14","5.4e-6","18.24","26.8","0.015","-6.15","-6.25","0","bK22Y05J"
"(2021 EF3)","2108-2122","16","2.6e-4","3.40","29.3","0.005","-6.15","-6.68","0","bK21E03F"
"(2015 DQ224)","2045-2054","15","4.0e-5","13.70","29.4","0.004","-6.16","-6.60","0","bK15DM4Q"
"(2021 DG)","2044-2072","9","1.7e-4","12.90","30.2","0.003","-6.16","-6.35","0","bK21D00G"
"(2016 LG10)","2108-2120","5","2.6e-6","8.69","25.5","0.027","-6.16","-6.53","0","bK16L10G"
"(2017 YE8)","2113-2118","8","2.0e-6","14.22","25.5","0.027","-6.16","-6.29","0","bK17Y08E"
"(2021 VZ22)","2072-2121","29","5.6e-5","9.38","28.3","0.007","-6.16","-6.45","0","bK21V22Z"
"(2007 DC)","2048-2120","82","1.3e-5","6.74","27.5","0.011","-6.17","-6.93","0","bK07D00C"
"(2008 VM)","2031-2031","1","3.6e-5","10.28","30.2","0.003","-6.17","-6.17","0","bK08V00M"
"(2009 WQ25)","2094-2106","2","2.4e-7","16.89","24.0","0.053","-6.17","-6.26","0","bK09W25Q"
"(2020 BB5)","2092-2121","16","2.5e-4","8.82","29.7","0.004","-6.17","-6.19","0","bK20B05B"
"(2022 UG6)","2059-2119","12","1.1e-5","14.46","27.9","0.009","-6.17","-6.20","0","bK22U06G"
"(2022 VQ1)","2111-2121","5","3.6e-6","10.44","25.9","0.023","-6.17","-6.24","0","bK22V01Q"
"(2015 SG)","2104-2105","2","7.1e-6","7.90","26.4","0.018","-6.17","-6.18","0","bK15S00G"
"(2015 XR169)","2049-2122","360","7.1e-5","9.53","28.8","0.006","-6.17","-7.08","0","bK15XG9R"
"(2011 TO)","2064-2064","1","2.9e-6","8.55","26.3","0.018","-6.18","-6.18","0","bK11T00O"
"(2022 CA1)","2055-2122","17","2.3e-5","3.78","27.3","0.012","-6.18","-6.55","0","bK22C01A"
"(2008 LD)","2054-2122","142","1.2e-4","4.13","28.9","0.006","-6.19","-6.98","0","bK08L00D"
"(2016 JA6)","2081-2118","15","4.9e-6","11.34","26.4","0.018","-6.19","-6.46","0","bK16J06A"
"(2020 TF6)","2056-2076","6","8.9e-6","12.54","27.6","0.010","-6.19","-6.48","0","bK20T06F"
"(2007 PR25)","2118-2118","1","1.3e-8","29.41","21.9","0.140","-6.19","-6.19","0","bK07P25R"
"(2015 HR182)","2072-2087","2","6.1e-9","18.72","21.0","0.210","-6.19","-6.27","0","bK15HI2R"
"(2017 TW5)","2064-2121","16","5.5e-6","15.27","27.0","0.013","-6.19","-6.28","0","bK17T05W"
"(2004 RU109)","2034-2053","7","1.2e-6","12.93","26.5","0.017","-6.20","-6.52","0","bK04RA9U"
"(2022 AU)","2084-2118","74","1.2e-4","7.11","29.1","0.005","-6.20","-6.42","0","bK22A00U"
"(2002 UV36)","2087-2087","1","6.8e-6","8.06","26.7","0.016","-6.20","-6.20","0","bK02U36V"
"(2024 EJ2)","2078-2119","9","2.8e-6","14.75","26.4","0.018","-6.20","-6.23","0","bK24E02J"
"(2012 CL17)","2096-2115","16","1.2e-6","21.49","25.7","0.024","-6.21","-6.69","0","bK12C17L"
"(2020 OM6)","2106-2106","1","1.6e-6","5.05","25.0","0.034","-6.21","-6.21","0","bK20O06M"
"(2003 WT153)","2042-2121","133","3.1e-5","4.34","28.1","0.008","-6.21","-6.90","0","bK03WF3T"
"(2006 SR131)","2045-2120","84","2.7e-5","8.46","28.0","0.009","-6.21","-6.84","0","bK06SD1R"
"(2019 MT2)","2079-2121","13","5.0e-6","11.36","26.4","0.018","-6.22","-6.64","0","bK19M02T"
"(2022 SL28)","2079-2122","50","1.6e-5","13.10","27.5","0.011","-6.22","-6.65","0","bK22S28L"
"(2020 PC)","2069-2122","72","3.7e-5","1.45","28.0","0.009","-6.23","-6.66","0","bK20P00C"
"(2018 VT5)","2086-2120","63","5.3e-5","9.55","28.4","0.007","-6.23","-6.77","0","bK18V05T"
"(2021 LL15)","2050-2107","11","3.1e-6","10.17","26.4","0.018","-6.23","-6.45","0","bK21L15L"
"(2022 KF6)","2068-2107","3","2.1e-6","10.02","25.8","0.023","-6.23","-6.50","0","bK22K06F"
"(2023 VF4)","2118-2122","4","2.9e-6","12.23","25.8","0.023","-6.23","-6.30","0","bK23V04F"
"(2007 TX22)","2040-2079","17","2.6e-5","8.87","28.4","0.007","-6.24","-6.95","0","bK07T22X"
"(2023 VA7)","2065-2121","29","1.1e-5","6.94","27.1","0.013","-6.24","-6.80","0","bK23V07A"
"(2021 VT4)","2058-2108","3","2.6e-6","19.89","27.1","0.013","-6.24","-6.27","0","bK21V04T"
"(2024 FY1)","2075-2118","5","5.2e-6","10.36","26.4","0.018","-6.24","-6.27","0","bK24F01Y"
"(2008 UA202)","2046-2122","657","1.5e-4","2.30","29.4","0.004","-6.25","-7.19","0","bK08UK2A"
"(2021 UK20)","2028-2121","78","2.8e-5","7.99","28.7","0.006","-6.25","-6.58","0","bK21U20K"
"(2014 HN2)","2095-2121","5","8.5e-6","2.57","26.3","0.018","-6.25","-6.25","0","bK14H02N"
"(2017 SU17)","2055-2119","59","3.0e-5","8.32","28.0","0.008","-6.25","-6.77","0","bK17S17U"
"(2020 CQ)","2051-2112","5","4.0e-6","15.25","27.0","0.013","-6.25","-6.44","0","bK20C00Q"
"(2021 RS100)","2035-2087","20","1.3e-5","20.02","28.8","0.006","-6.25","-6.58","0","bK21RA0S"
"(2012 KP24)","2032-2032","1","4.7e-7","12.74","26.4","0.017","-6.25","-6.25","0","bK12K24P"
"(2004 XB45)","2035-2085","4","4.5e-7","17.01","26.3","0.019","-6.25","-6.29","0","bK04X45B"
"(2021 US1)","2087-2121","11","3.0e-5","2.87","27.7","0.010","-6.25","-6.50","0","bK21U01S"
"(2022 YM1)","2091-2122","36","1.4e-4","2.65","29.0","0.005","-6.26","-6.84","0","bK22Y01M"
"(2007 EH26)","2097-2118","6","2.5e-7","20.01","24.2","0.048","-6.26","-6.51","0","bK07E26H"
"(2014 CE)","2108-2120","9","9.2e-6","13.04","27.0","0.013","-6.26","-6.40","0","bK14C00E"
"(2020 YK3)","2064-2116","9","8.9e-6","4.07","27.1","0.013","-6.26","-6.40","0","bK20Y03K"
"(2021 CU1)","2059-2122","43","5.7e-5","8.34","28.6","0.006","-6.26","-6.56","0","bK21C01U"
"(2021 CJ3)","2062-2081","6","8.6e-6","11.37","27.5","0.011","-6.26","-6.42","0","bK21C03J"
"(2023 TU15)","2050-2122","77","7.8e-5","11.89","29.2","0.005","-6.26","-7.04","0","bK23T15U"
"(2021 DA2)","2064-2122","76","9.7e-5","6.92","29.2","0.005","-6.27","-6.85","0","bK21D02A"
"(2019 ED1)","2070-2103","8","1.3e-5","9.42","27.5","0.011","-6.27","-6.75","0","bK19E01D"
"(2020 QF1)","2102-2122","4","4.3e-5","12.41","28.6","0.006","-6.27","-6.28","0","bK20Q01F"
"(2022 SK2)","2079-2082","3","1.6e-6","22.92","26.5","0.017","-6.27","-6.28","0","bK22S02K"
"(2011 BU59)","2089-2122","20","3.3e-6","11.32","26.1","0.020","-6.28","-6.62","0","bK11B59U"
"(2018 DZ3)","2068-2113","3","4.6e-6","10.05","26.4","0.018","-6.28","-6.35","0","bK18D03Z"
"(2021 UN)","2050-2089","13","2.4e-5","13.05","28.8","0.006","-6.28","-6.49","0","bK21U00N"
"(2022 CE5)","2103-2116","5","3.3e-8","35.57","23.2","0.078","-6.28","-6.51","0","bK22C05E"
"(2022 TF48)","2058-2123","151","1.8e-5","14.24","27.9","0.009","-6.28","-6.64","0","bK22T48F"
"(2014 SR261)","2058-2117","15","3.0e-6","15.25","26.8","0.015","-6.29","-6.51","0","bK14SQ1R"
"(2020 CF2)","2108-2122","11","2.7e-5","3.17","27.6","0.010","-6.29","-6.50","0","bK20C02F"
"(2019 AB)","2073-2122","9","3.7e-6","9.91","26.2","0.019","-6.29","-6.37","0","bK19A00B"
"(2021 PK4)","2060-2076","11","1.5e-5","12.00","28.1","0.008","-6.29","-6.36","0","bK21P04K"
"(2017 DG16)","2077-2115","27","1.2e-4","6.48","29.4","0.004","-6.29","-6.34","0","bK17D16G"
"(2010 TD)","2072-2091","7","2.6e-6","18.85","26.9","0.014","-6.30","-6.61","0","bK10T00D"
"(2020 BH)","2104-2122","13","5.3e-5","3.07","28.3","0.008","-6.30","-6.55","0","bK20B00H"
"(2021 PA211)","2089-2104","4","1.7e-4","8.00","29.8","0.004","-6.30","-6.31","0","bK21PL1A"
"(2018 VC)","2109-2119","7","5.9e-6","4.96","26.3","0.019","-6.30","-6.40","0","bK18V00C"
"(2011 UC64)","2084-2121","41","1.8e-5","14.05","27.9","0.009","-6.30","-6.98","0","bK11U64C"
"(2009 FP32)","2073-2122","32","1.3e-5","15.06","27.8","0.010","-6.30","-7.00","0","bK09F32P"
"(2018 EB4)","2099-2103","2","1.1e-6","13.09","25.4","0.028","-6.31","-6.32","0","bK18E04B"
"(2016 WY)","2091-2121","38","1.3e-4","3.24","29.2","0.005","-6.31","-6.51","0","bK16W00Y"
"(2021 TV10)","2068-2078","17","1.1e-5","11.67","27.8","0.009","-6.31","-6.51","0","bK21T10V"
"(2023 TD32)","2049-2067","8","5.2e-7","14.37","25.6","0.026","-6.31","-6.63","0","bK23T32D"
"(2004 BN41)","2086-2122","9","2.4e-6","7.78","25.8","0.024","-6.32","-6.67","0","bK04B41N"
"(2022 BY39)","2107-2118","2","3.2e-4","2.52","29.9","0.004","-6.32","-6.33","0","bK22B39Y"
"(2021 UZ6)","2106-2118","2","1.4e-6","8.69","25.3","0.030","-6.32","-6.53","0","bK21U06Z"
"(2023 XM14)","2105-2105","1","1.8e-7","9.21","23.5","0.068","-6.32","-6.32","0","bK23X14M"
"(2009 MG1)","2118-2118","1","2.3e-7","16.94","24.1","0.052","-6.33","-6.33","0","bK09M01G"
"(2013 AB65)","2094-2122","18","6.5e-6","24.41","27.6","0.010","-6.33","-6.51","0","bK13A65B"
"(2010 VO139)","2032-2114","86","1.0e-6","20.87","26.5","0.017","-6.33","-7.10","0","bK10VD9O"
"(2015 WP2)","2077-2121","30","2.0e-4","12.62","30.1","0.003","-6.33","-6.57","0","bK15W02P"
"(2021 CZ7)","2040-2117","5","2.0e-5","9.07","28.4","0.007","-6.33","-6.51","0","bK21C07Z"
"(2021 SO1)","2103-2119","5","9.5e-6","8.60","27.0","0.014","-6.33","-6.46","0","bK21S01O"
"(2021 ST)","2068-2112","8","2.6e-6","8.61","26.0","0.022","-6.33","-6.86","0","bK21S00T"
"(2011 QF48)","2067-2067","2","3.2e-7","19.92","25.3","0.030","-6.34","-6.47","0","bK11Q48F"
"(2019 UE4)","2064-2121","28","1.3e-5","11.58","27.7","0.010","-6.34","-6.71","0","bK19U04E"
"(2019 KL)","2047-2085","10","1.2e-6","14.21","26.4","0.017","-6.34","-6.60","0","bK19K00L"
"(2021 GB10)","2057-2085","6","2.2e-5","16.75","28.7","0.006","-6.34","-6.82","0","bK21G10B"
"(2013 AG69)","2092-2122","6","7.3e-6","17.35","27.3","0.012","-6.34","-6.49","0","bK13A69G"
"(2011 UL169)","2057-2073","14","1.4e-5","9.35","28.3","0.007","-6.34","-6.40","0","bK11UG9L"
"(2019 QS)","2096-2108","2","2.7e-7","21.59","24.8","0.037","-6.35","-6.35","0","bK19Q00S"
"(2006 GU2)","2073-2121","91","2.0e-5","7.31","27.8","0.009","-6.35","-7.22","0","bK06G02U"
"(2018 XR4)","2062-2117","8","3.5e-6","11.80","26.8","0.015","-6.35","-6.56","0","bK18X04R"
"(2019 PG)","2101-2119","5","2.1e-6","7.21","25.6","0.026","-6.35","-6.54","0","bK19P00G"
"(2015 RD36)","2099-2099","1","1.2e-8","36.46","22.6","0.100","-6.35","-6.35","0","bK15R36D"
